class_id,class_name,train,valid,test,total,train_pct,total_pct
0,Crossroads,435,138,62,635,6.035798529207715,6.167443667443667
1,Emergency Stopping,443,114,59,616,6.146801720549465,5.982905982905983
2,Emergency Stopping 250m,131,27,17,175,1.8176772582211738,1.6996891996891996
3,Give Way,124,40,14,178,1.7205494657971414,1.7288267288267287
4,Height Limit 5.7m,669,177,104,950,9.282641875953935,9.226884226884227
5,Hospital Ahead,6,5,3,14,0.0832523935063133,0.13597513597513597
6,Junction Ahead,39,7,2,48,0.5411405577910364,0.4662004662004662
7,Mosque Ahead,422,99,66,587,5.855418343277369,5.7012432012432015
8,No Overtaking,367,113,56,536,5.09227140280283,5.205905205905205
9,No Pedestrians,60,12,9,81,0.8325239350631332,0.7867132867132868
10,No Vehicle Entry,125,42,15,182,1.7344248647148606,1.7676767676767675
11,Pedestrians Crossing,425,145,61,631,5.897044540030525,6.128593628593629
12,Petrol Pump Ahead,447,120,50,617,6.202303316220341,5.992618492618493
13,School Ahead,188,60,28,276,2.6085749965311504,2.6806526806526807
14,Sharp Left Turn,213,73,36,322,2.9554599694741226,3.1274281274281273
15,Sharp Right Turn,251,72,37,360,3.48272512834744,3.4965034965034967
16,Side Road On Left,585,178,90,853,8.117108366865548,8.284770784770783
17,Side Road On Right,761,242,106,1109,10.55917857638407,10.77117327117327
18,Speed Breaker,288,83,40,411,3.9961148883030386,3.991841491841492
19,Speed Limit 20 km,46,17,3,66,0.6382683502150687,0.641025641025641
20,Speed Limit 40Km,420,91,50,561,5.8276675454419316,5.448717948717949
21,Speed Limit 80Km,330,85,48,463,4.578881642847231,4.496891996891997
22,Tolls 1 km Ahead,45,14,7,66,0.6243929512973498,0.641025641025641
23,Tolls Ahead,39,12,5,56,0.5411405577910364,0.5439005439005439
24,Traffic Merges From Left,104,21,10,135,1.443041487442764,1.3111888111888113
25,Traffic Merges From Right,18,4,0,22,0.24975718051893991,0.2136752136752137
26,Truck Lane,61,20,10,91,0.846399333980852,0.8838383838383838
27,U Turn,49,13,13,75,0.6798945469682253,0.7284382284382284
28,Underpass Ahead,116,40,24,180,1.6095462744553906,1.7482517482517483
29,Weight Limit 10T,0,0,0,0,0.0,0.0
30,Weight Limit 27T,0,0,0,0,0.0,0.0
