model,class_id,class_name,AP50,AP50_95
YOLO11s,0,Crossroads,0.995,0.9811208988144472
YOLO11s,1,Emergency Stopping,0.995,0.9863299377475949
YOLO11s,2,Emergency Stopping 250m,0.995,0.9810625
YOLO11s,3,Give Way,0.995,0.9098645765998707
YOLO11s,4,Height Limit 5.7m,0.995,0.9932428929765887
YOLO11s,5,Hospital Ahead,0.995,0.8625
YOLO11s,6,Junction Ahead,0.995,0.8455
YOLO11s,7,Mosque Ahead,0.9845454545454545,0.872518008545212
YOLO11s,8,No Overtaking,0.995,0.9858214285714286
YOLO11s,9,No Pedestrians,0.885,0.86025
YOLO11s,10,No Vehicle Entry,0.995,0.975875
YOLO11s,11,Pedestrians Crossing,0.9935483870967742,0.9601637637824139
YOLO11s,12,Petrol Pump Ahead,0.995,0.9694197342021207
YOLO11s,13,School Ahead,0.995,0.974386073880353
YOLO11s,14,Sharp Left Turn,0.9755405405405407,0.9692856831485864
YOLO11s,15,Sharp Right Turn,0.995,0.9949999999999999
YOLO11s,16,Side Road On Left,0.995,0.9903370786516854
YOLO11s,17,Side Road On Right,0.995,0.9938016120168529
YOLO11s,18,Speed Breaker,0.995,0.9880000000000001
YOLO11s,19,Speed Limit 20 km,0.995,0.9620000000000001
YOLO11s,20,Speed Limit 40Km,0.995,0.9740555602090186
YOLO11s,21,Speed Limit 80Km,0.995,0.9897573529411765
YOLO11s,22,Tolls 1 km Ahead,0.995,0.9949999999999999
YOLO11s,23,Tolls Ahead,0.995,0.9949999999999999
YOLO11s,24,Traffic Merges From Left,0.995,0.9949999999999999
YOLO11s,25,Traffic Merges From Right,0.995,0.9949999999999999
YOLO11s,26,Truck Lane,0.995,0.9949999999999999
YOLO11s,27,U Turn,0.995,0.9949999999999999
YOLO11s,28,Underpass Ahead,,
YOLO11s,29,Weight Limit 10T,,
YOLO11s,30,Weight Limit 27T,,
BD-TrafficGuard,0,Crossroads,0.995,0.9415646736642833
BD-TrafficGuard,1,Emergency Stopping,0.995,0.9721630089374379
BD-TrafficGuard,2,Emergency Stopping 250m,0.995,0.9486874999999999
BD-TrafficGuard,3,Give Way,0.995,0.8807500000000001
BD-TrafficGuard,4,Height Limit 5.7m,0.995,0.9811697174433934
BD-TrafficGuard,5,Hospital Ahead,0.995,0.81275
BD-TrafficGuard,6,Junction Ahead,0.995,0.8455
BD-TrafficGuard,7,Mosque Ahead,0.9842424242424243,0.8636151760117853
BD-TrafficGuard,8,No Overtaking,0.995,0.981653935009847
BD-TrafficGuard,9,No Pedestrians,0.995,0.9308857142857143
BD-TrafficGuard,10,No Vehicle Entry,0.995,0.967
BD-TrafficGuard,11,Pedestrians Crossing,0.995,0.9372976832534867
BD-TrafficGuard,12,Petrol Pump Ahead,0.995,0.9504473150105708
BD-TrafficGuard,13,School Ahead,0.995,0.9386041666666667
BD-TrafficGuard,14,Sharp Left Turn,0.9814473684210524,0.9371330409356723
BD-TrafficGuard,15,Sharp Right Turn,0.995,0.9535752567693745
BD-TrafficGuard,16,Side Road On Left,0.995,0.9724915635582574
BD-TrafficGuard,17,Side Road On Right,0.995,0.9827917318585391
BD-TrafficGuard,18,Speed Breaker,0.995,0.966251060334528
BD-TrafficGuard,19,Speed Limit 20 km,0.995,0.91225
BD-TrafficGuard,20,Speed Limit 40Km,0.995,0.96972458718376
BD-TrafficGuard,21,Speed Limit 80Km,0.995,0.9817382246376812
BD-TrafficGuard,22,Tolls 1 km Ahead,0.995,0.9949999999999999
BD-TrafficGuard,23,Tolls Ahead,0.995,0.9710000000000001
BD-TrafficGuard,24,Traffic Merges From Left,0.995,0.9949999999999999
BD-TrafficGuard,25,Traffic Merges From Right,0.995,0.9949999999999999
BD-TrafficGuard,26,Truck Lane,0.995,0.9054871794871795
BD-TrafficGuard,27,U Turn,0.995,0.9643071465428277
BD-TrafficGuard,28,Underpass Ahead,,
BD-TrafficGuard,29,Weight Limit 10T,,
BD-TrafficGuard,30,Weight Limit 27T,,
