condition,model,mean_mAP50,mean_mAP50_95,mean_precision,mean_recall,mean_F1,mean_drop
blur,BD-TrafficGuard,0.9940761947011948,0.9275454168624453,0.9907985940427148,0.9933958127849181,0.9920954606740932,0.017234536051519218
blur,YOLO11s,0.9926677604001425,0.9654145698243995,0.9835342182629191,0.991301566644017,0.9874020261959023,-0.0014755661784228158
fog,BD-TrafficGuard,0.9942435942435944,0.9448261051994421,0.989021017112862,0.9925271267830347,0.9907699165431905,-4.615228547773705e-05
fog,YOLO11s,0.9924405434738799,0.9656559993879896,0.9839522652076079,0.9826936941211755,0.9833218969781615,-0.0017169957420130055
glare,BD-TrafficGuard,0.9872841729374144,0.8946699486445774,0.968854376081176,0.9780683106239071,0.973426019391729,0.050110004269387054
glare,YOLO11s,0.6748888915164465,0.605038573300268,0.7987700948940111,0.6358760511204963,0.6879186628015906,0.3589004303457086
low_light,BD-TrafficGuard,0.9940401024743131,0.9393170425930767,0.9884100980650179,0.9923331093114388,0.9903671004583291,0.005462910320887748
low_light,YOLO11s,0.9768517568768815,0.9399372172409253,0.9808455174985649,0.968135478735788,0.9742078687848479,0.024001786405051313
occlusion,BD-TrafficGuard,0.9720686540491433,0.9181681737065105,0.9652300714327259,0.9496937207534634,0.9569611175987781,0.026611779207453907
occlusion,YOLO11s,0.8196556337811963,0.7540615994699422,0.768985854140194,0.7837115746621275,0.7760717586366369,0.20987740417603437
rain,BD-TrafficGuard,0.9941588345864663,0.9424618073983687,0.9906510991694523,0.9918185594719331,0.991234434529546,0.0023181455155957265
rain,YOLO11s,0.9884195977501369,0.9609379345984,0.9793036091055395,0.98500453797151,0.9821250345392886,0.00300106904757654
