split,class_id,class_name,image_width,image_height,box_width,box_height,box_area,box_area_ratio,box_aspect_ratio,size_category
train,4,Height Limit 5.7m,640,640,283.5,183.5,52022.25,0.1270074462890625,1.5449591280653951,Large (>5%)
train,15,Sharp Right Turn,640,640,89.5,46.5,4161.75,0.0101605224609375,1.924731182795699,Medium (1%-5%)
train,8,No Overtaking,640,640,177.0,105.5,18673.5,0.045589599609375,1.6777251184834123,Medium (1%-5%)
train,14,Sharp Left Turn,640,640,606.0,354.0,214524.0,0.523740234375,1.7118644067796611,Large (>5%)
train,8,No Overtaking,640,640,479.5,285.5,136897.25,0.3342218017578125,1.679509632224168,Large (>5%)
train,12,Petrol Pump Ahead,640,640,209.5,162.0,33939.0,0.08285888671875,1.2932098765432098,Large (>5%)
train,17,Side Road On Right,640,640,304.0,152.5,46360.0,0.11318359375,1.9934426229508198,Large (>5%)
train,4,Height Limit 5.7m,640,640,118.0,74.5,8791.0,0.02146240234375,1.5838926174496644,Medium (1%-5%)
train,18,Speed Breaker,640,640,511.0,267.0,136437.0,0.33309814453125,1.9138576779026217,Large (>5%)
train,18,Speed Breaker,640,640,139.0,70.0,9730.0,0.0237548828125,1.9857142857142858,Medium (1%-5%)
train,21,Speed Limit 80Km,640,640,227.5,128.5,29233.75,0.0713714599609375,1.7704280155642023,Large (>5%)
train,4,Height Limit 5.7m,640,640,194.5,123.0,23923.5,0.058406982421875,1.58130081300813,Large (>5%)
train,1,Emergency Stopping,640,640,182.5,105.5,19253.75,0.0470062255859375,1.7298578199052133,Medium (1%-5%)
train,18,Speed Breaker,640,640,264.0,178.0,46992.0,0.1147265625,1.4831460674157304,Large (>5%)
train,16,Side Road On Left,640,640,137.5,75.0,10312.5,0.025177001953125,1.8333333333333333,Medium (1%-5%)
train,17,Side Road On Right,640,640,119.5,63.0,7528.5,0.018380126953125,1.8968253968253967,Medium (1%-5%)
train,12,Petrol Pump Ahead,640,640,66.5,50.5,3358.25,0.0081988525390625,1.316831683168317,Small (<1%)
train,12,Petrol Pump Ahead,640,640,325.0,213.5,69387.5,0.169403076171875,1.5222482435597189,Large (>5%)
train,7,Mosque Ahead,640,640,62.0,44.5,2759.0,0.00673583984375,1.3932584269662922,Small (<1%)
train,13,School Ahead,640,640,244.5,131.5,32151.75,0.0784954833984375,1.8593155893536122,Large (>5%)
train,1,Emergency Stopping,640,640,383.0,232.5,89047.5,0.217401123046875,1.6473118279569892,Large (>5%)
train,11,Pedestrians Crossing,640,640,557.0,609.0,339213.0,0.82815673828125,0.9146141215106732,Large (>5%)
train,11,Pedestrians Crossing,640,640,150.0,123.0,18450.0,0.0450439453125,1.2195121951219512,Medium (1%-5%)
train,1,Emergency Stopping,640,640,443.0,240.0,106320.0,0.2595703125,1.8458333333333334,Large (>5%)
train,0,Crossroads,640,640,86.5,53.0,4584.5,0.011192626953125,1.6320754716981132,Medium (1%-5%)
train,8,No Overtaking,640,640,150.5,117.5,17683.75,0.0431732177734375,1.2808510638297872,Medium (1%-5%)
train,1,Emergency Stopping,640,640,269.5,147.0,39616.5,0.096719970703125,1.8333333333333333,Large (>5%)
train,4,Height Limit 5.7m,640,640,104.0,59.5,6188.0,0.015107421875,1.7478991596638656,Medium (1%-5%)
train,7,Mosque Ahead,640,640,85.0,67.0,5695.0,0.01390380859375,1.2686567164179106,Medium (1%-5%)
train,9,No Pedestrians,640,640,178.0,184.0,32752.0,0.0799609375,0.967391304347826,Large (>5%)
train,16,Side Road On Left,640,640,90.5,55.0,4977.5,0.012152099609375,1.6454545454545455,Medium (1%-5%)
train,7,Mosque Ahead,640,640,130.5,82.0,10701.0,0.02612548828125,1.5914634146341464,Medium (1%-5%)
train,8,No Overtaking,640,640,326.5,247.5,80808.75,0.1972869873046875,1.3191919191919192,Large (>5%)
train,12,Petrol Pump Ahead,640,640,43.0,35.5,1526.5,0.003726806640625,1.2112676056338028,Small (<1%)
train,17,Side Road On Right,640,640,167.0,89.5,14946.5,0.036490478515625,1.8659217877094971,Medium (1%-5%)
train,16,Side Road On Left,640,640,305.0,219.0,66795.0,0.16307373046875,1.3926940639269407,Large (>5%)
train,13,School Ahead,640,640,262.0,144.5,37859.0,0.09242919921875,1.8131487889273357,Large (>5%)
train,16,Side Road On Left,640,640,85.0,52.0,4420.0,0.010791015625,1.6346153846153846,Medium (1%-5%)
train,17,Side Road On Right,640,640,168.0,90.5,15204.0,0.037119140625,1.856353591160221,Medium (1%-5%)
train,25,Traffic Merges From Right,640,640,164.5,91.0,14969.5,0.036546630859375,1.8076923076923077,Medium (1%-5%)
train,7,Mosque Ahead,640,640,62.5,59.5,3718.75,0.0090789794921875,1.050420168067227,Small (<1%)
train,17,Side Road On Right,640,640,94.5,49.5,4677.75,0.0114202880859375,1.9090909090909092,Medium (1%-5%)
train,12,Petrol Pump Ahead,640,640,80.5,87.0,7003.5,0.017098388671875,0.9252873563218391,Medium (1%-5%)
train,21,Speed Limit 80Km,640,640,424.5,238.5,101243.25,0.2471759033203125,1.779874213836478,Large (>5%)
train,2,Emergency Stopping 250m,640,640,65.5,111.5,7303.25,0.0178302001953125,0.5874439461883408,Medium (1%-5%)
train,18,Speed Breaker,640,640,563.5,296.5,167077.75,0.4079046630859375,1.9005059021922428,Large (>5%)
train,12,Petrol Pump Ahead,640,640,186.0,142.0,26412.0,0.064482421875,1.3098591549295775,Large (>5%)
train,16,Side Road On Left,640,640,89.5,56.0,5012.0,0.012236328125,1.5982142857142858,Medium (1%-5%)
train,2,Emergency Stopping 250m,640,640,160.5,90.0,14445.0,0.03526611328125,1.7833333333333334,Medium (1%-5%)
train,15,Sharp Right Turn,640,640,363.5,270.5,98326.75,0.2400555419921875,1.343807763401109,Large (>5%)
train,11,Pedestrians Crossing,640,640,116.0,101.5,11774.0,0.0287451171875,1.1428571428571428,Medium (1%-5%)
train,16,Side Road On Left,640,640,102.5,61.5,6303.75,0.0153900146484375,1.6666666666666667,Medium (1%-5%)
train,28,Underpass Ahead,640,640,171.5,103.5,17750.25,0.0433355712890625,1.6570048309178744,Medium (1%-5%)
train,3,Give Way,640,640,71.0,50.5,3585.5,0.008753662109375,1.4059405940594059,Small (<1%)
train,16,Side Road On Left,640,640,183.0,111.5,20404.5,0.049815673828125,1.641255605381166,Medium (1%-5%)
train,12,Petrol Pump Ahead,640,640,141.0,103.0,14523.0,0.03545654296875,1.3689320388349515,Medium (1%-5%)
train,11,Pedestrians Crossing,640,640,467.5,270.5,126458.75,0.3087371826171875,1.7282809611829943,Large (>5%)
train,11,Pedestrians Crossing,640,640,133.5,68.0,9078.0,0.0221630859375,1.963235294117647,Medium (1%-5%)
train,16,Side Road On Left,640,640,88.5,57.0,5044.5,0.012315673828125,1.5526315789473684,Medium (1%-5%)
train,21,Speed Limit 80Km,640,640,259.0,145.0,37555.0,0.09168701171875,1.7862068965517242,Large (>5%)
train,4,Height Limit 5.7m,640,640,103.5,60.5,6261.75,0.0152874755859375,1.7107438016528926,Medium (1%-5%)
train,0,Crossroads,640,640,50.0,32.5,1625.0,0.00396728515625,1.5384615384615385,Small (<1%)
train,8,No Overtaking,640,640,181.5,113.5,20600.25,0.0502935791015625,1.5991189427312775,Large (>5%)
train,17,Side Road On Right,640,640,430.0,256.5,110295.0,0.26927490234375,1.6764132553606237,Large (>5%)
train,20,Speed Limit 40Km,640,640,96.5,55.5,5355.75,0.0130755615234375,1.7387387387387387,Medium (1%-5%)
train,8,No Overtaking,640,640,46.5,26.0,1209.0,0.00295166015625,1.7884615384615385,Small (<1%)
train,14,Sharp Left Turn,640,640,217.0,175.0,37975.0,0.09271240234375,1.24,Large (>5%)
train,18,Speed Breaker,640,640,140.0,93.5,13090.0,0.0319580078125,1.4973262032085561,Medium (1%-5%)
train,10,No Vehicle Entry,640,640,384.0,216.5,83136.0,0.20296875,1.7736720554272518,Large (>5%)
train,1,Emergency Stopping,640,640,299.5,180.0,53910.0,0.1316162109375,1.663888888888889,Large (>5%)
train,15,Sharp Right Turn,640,640,290.0,156.5,45385.0,0.11080322265625,1.8530351437699681,Large (>5%)
train,17,Side Road On Right,640,640,395.0,211.5,83542.5,0.203961181640625,1.867612293144208,Large (>5%)
train,18,Speed Breaker,640,640,201.5,108.0,21762.0,0.0531298828125,1.8657407407407407,Large (>5%)
train,18,Speed Breaker,640,640,187.0,104.0,19448.0,0.04748046875,1.7980769230769231,Medium (1%-5%)
train,18,Speed Breaker,640,640,188.0,138.0,25944.0,0.06333984375,1.3623188405797102,Large (>5%)
train,12,Petrol Pump Ahead,640,640,308.0,228.5,70378.0,0.1718212890625,1.3479212253829322,Large (>5%)
train,15,Sharp Right Turn,640,640,262.0,256.5,67203.0,0.16406982421875,1.0214424951267056,Large (>5%)
train,4,Height Limit 5.7m,640,640,208.5,131.0,27313.5,0.066683349609375,1.5916030534351144,Large (>5%)
train,16,Side Road On Left,640,640,153.0,83.5,12775.5,0.031190185546875,1.8323353293413174,Medium (1%-5%)
train,7,Mosque Ahead,640,640,464.0,315.5,146392.0,0.35740234375,1.4706814580031695,Large (>5%)
train,18,Speed Breaker,640,640,200.5,107.5,21553.75,0.0526214599609375,1.8651162790697675,Large (>5%)
train,17,Side Road On Right,640,640,182.5,92.5,16881.25,0.0412139892578125,1.972972972972973,Medium (1%-5%)
train,7,Mosque Ahead,640,640,85.0,72.0,6120.0,0.01494140625,1.1805555555555556,Medium (1%-5%)
train,8,No Overtaking,640,640,508.5,287.5,146193.75,0.3569183349609375,1.768695652173913,Large (>5%)
train,11,Pedestrians Crossing,640,640,164.5,84.5,13900.25,0.0339361572265625,1.9467455621301775,Medium (1%-5%)
train,16,Side Road On Left,640,640,73.0,47.0,3431.0,0.00837646484375,1.553191489361702,Small (<1%)
train,0,Crossroads,640,640,297.0,193.5,57469.5,0.140306396484375,1.5348837209302326,Large (>5%)
train,17,Side Road On Right,640,640,176.0,114.5,20152.0,0.04919921875,1.537117903930131,Medium (1%-5%)
train,17,Side Road On Right,640,640,333.5,208.5,69534.75,0.1697625732421875,1.5995203836930456,Large (>5%)
train,16,Side Road On Left,640,640,160.0,98.0,15680.0,0.03828125,1.6326530612244898,Medium (1%-5%)
train,4,Height Limit 5.7m,640,640,82.0,57.5,4715.0,0.01151123046875,1.4260869565217391,Medium (1%-5%)
train,18,Speed Breaker,640,640,259.5,177.5,46061.25,0.1124542236328125,1.4619718309859155,Large (>5%)
train,17,Side Road On Right,640,640,336.5,174.0,58551.0,0.14294677734375,1.9339080459770115,Large (>5%)
train,8,No Overtaking,640,640,566.5,372.5,211021.25,0.5151885986328125,1.5208053691275167,Large (>5%)
train,12,Petrol Pump Ahead,640,640,209.0,162.5,33962.5,0.082916259765625,1.2861538461538462,Large (>5%)
train,13,School Ahead,640,640,67.5,39.0,2632.5,0.006427001953125,1.7307692307692308,Small (<1%)
train,2,Emergency Stopping 250m,640,640,155.5,92.0,14306.0,0.0349267578125,1.690217391304348,Medium (1%-5%)
train,18,Speed Breaker,640,640,607.5,323.5,196526.25,0.4798004150390625,1.8778979907264297,Large (>5%)
train,7,Mosque Ahead,640,640,72.0,45.5,3276.0,0.007998046875,1.5824175824175823,Small (<1%)
train,14,Sharp Left Turn,640,640,468.0,267.5,125190.0,0.3056396484375,1.749532710280374,Large (>5%)
train,7,Mosque Ahead,640,640,247.0,170.0,41990.0,0.1025146484375,1.4529411764705882,Large (>5%)
train,11,Pedestrians Crossing,640,640,226.5,129.5,29331.75,0.0716107177734375,1.749034749034749,Large (>5%)
train,17,Side Road On Right,640,640,206.5,139.5,28806.75,0.0703289794921875,1.4802867383512546,Large (>5%)
train,12,Petrol Pump Ahead,640,640,80.5,55.0,4427.5,0.010809326171875,1.4636363636363636,Medium (1%-5%)
train,16,Side Road On Left,640,640,305.5,211.0,64460.5,0.157374267578125,1.447867298578199,Large (>5%)
train,4,Height Limit 5.7m,640,640,155.5,135.0,20992.5,0.051251220703125,1.151851851851852,Large (>5%)
train,12,Petrol Pump Ahead,640,640,139.0,109.0,15151.0,0.03698974609375,1.275229357798165,Medium (1%-5%)
train,20,Speed Limit 40Km,640,640,156.0,99.0,15444.0,0.037705078125,1.5757575757575757,Medium (1%-5%)
train,14,Sharp Left Turn,640,640,172.5,93.5,16128.75,0.0393768310546875,1.8449197860962567,Medium (1%-5%)
train,0,Crossroads,640,640,123.0,94.5,11623.5,0.028377685546875,1.3015873015873016,Medium (1%-5%)
train,16,Side Road On Left,640,640,237.0,149.0,35313.0,0.08621337890625,1.5906040268456376,Large (>5%)
train,12,Petrol Pump Ahead,640,640,156.5,126.5,19797.25,0.0483331298828125,1.2371541501976284,Medium (1%-5%)
