split,image,applied
train,Emergency_break_0_jpg.rf.48b40bc7643988692b017e03d1771b64.jpg,fog_mild
train,Emergency_break_101_jpg.rf.ab00ae60b03fc04b592b5ca54c4e8829.jpg,small_distance_0.77|low_light_mild
train,Emergency_break_102_jpg.rf.16afa329e3f88e59962afead68095ec6.jpg,blur_mild
train,Emergency_break_103_jpg.rf.a371b812c2f17936d8e7e50f5077a276.jpg,small_distance_0.73|occlusion_severe
train,Emergency_break_104_jpg.rf.388e63ad259b9631ed94f9eea846f192.jpg,glare_severe
train,Emergency_break_105_jpg.rf.0d1e9ccdd996c082d6324b10d4bda9c7.jpg,small_distance_0.81
train,Emergency_break_107_jpg.rf.aeb1daf7d783065203e469cf1deb8f5c.jpg,small_distance_0.68|rain_moderate
train,Emergency_break_108_jpg.rf.8ddb08bc81bdc7f8604ff79db553d62e.jpg,small_distance_0.66|fog_severe
train,Emergency_break_110_jpg.rf.4742c9a39f54c975c85de37451f0f1ef.jpg,small_distance_0.56|blur_moderate
train,Emergency_break_114_jpg.rf.730d5f32526848943f8076cb232ef6b9.jpg,small_distance_0.64|fog_severe
train,Emergency_break_115_jpg.rf.e612e636040c26863371622d2a73525e.jpg,small_distance_0.57|fog_mild
train,Emergency_break_116_jpg.rf.ba614ccba17c737e6a4698babef149d8.jpg,clean
train,Emergency_break_118_jpg.rf.660d91cc1ecf4f996e97c494d47dc4f2.jpg,fog_mild
train,Emergency_break_119_jpg.rf.189df319586080c3ec9771debb81dbfa.jpg,fog_severe
train,Emergency_break_11_jpg.rf.8a422e2288969b74ffc202f41e5a9882.jpg,low_light_severe
train,Emergency_break_120_jpg.rf.af9d570a30af8aab6b4c6ae668a668f2.jpg,small_distance_0.77|glare_moderate
train,Emergency_break_121_jpg.rf.51da5c1cce555d59745912d510b06d5e.jpg,low_light_mild
train,Emergency_break_122_jpg.rf.c324150401b6eee69591438ba70c0904.jpg,clean
train,Emergency_break_124_jpg.rf.a3c2db7fb8f6b6485c934f954378cf84.jpg,blur_moderate
train,Emergency_break_125_jpg.rf.06ad2cf5cfadaef5262d39f29ba09095.jpg,low_light_severe
train,Emergency_break_126_jpg.rf.89f287bc93ab5c2e11495c7d36349c21.jpg,small_distance_0.75|occlusion_moderate
train,Emergency_break_12_jpg.rf.fdf6f53a370671c16dd5433ddd560ce7.jpg,small_distance_0.59|low_light_moderate
train,Emergency_break_130_jpg.rf.0c66f3ccbf89958d1277e721015e5330.jpg,low_light_moderate
train,Emergency_break_131_jpg.rf.13d77f6a8b81c501d0b10fb3575466ec.jpg,clean
train,Emergency_break_132_jpg.rf.f0a5dc1ea24dc15e411d1ba0a895eeeb.jpg,small_distance_0.70
train,Emergency_break_133_jpg.rf.79d83dc1de7353cd4aa7fe0fc2508e31.jpg,rain_severe
train,Emergency_break_134_jpg.rf.1846a50d6f13c84808f70045cb3acec6.jpg,glare_severe
